sortnum,course_division,course_borough,course_distance,estimated_duration,course_difficulty,course_name
71,강북,강북구,5.21,150,중급,쌍문역사 산책길(초록숲길)
72,강북,도봉구,5.21,150,중급,쌍문역사 산책길(초록숲길)
73,강북,강북구,6.81,210,중급,북한산방학 나들길
74,강북,도봉구,6.81,210,중급,북한산방학 나들길
75,강북,강북구,2.01,60,초급,북서울꿈의숲 산책길
76,강북,도봉구,2.01,60,초급,북서울꿈의숲 산책길
77,강북,강북구,4.71,120,중급,북서울꿈의숲 나들길
78,강북,도봉구,4.71,120,중급,북서울꿈의숲 나들길
79,강북,성북구,3.62,60,초급,성북천길
80,강북,성북구,2.23,60,초급,청량산 산책길
81,강북,성북구,2.23,90,초급,정릉숲 산책길
82,강북,성북구,2.02,60,초급,오동공원 산책길
83,강북,성북구,2.49,90,초급,북한산자락 산책길
84,강북,성북구,2.2,90,초급,개운산 숲 나들길
85,강북,종로구,3.54,90,중급,인왕산 나들길
86,강북,종로구,8.12,120,중급,인사동삼청동 나들길
87,강북,성북구,4.16,120,중급,성북동고택북촌산책길
88,강북,성북구,2.79,120,중급,북악하늘 나들길
89,강북,종로구,2.79,120,중급,북악하늘 나들길
90,강북,종로구,6.96,150,중급,북악스카이웨이 나들길
91,강북,종로구,4.31,180,중급,부암동 나들길
92,강북,종로구,3.06,120,중급,백사실두메 나들길
93,강북,종로구,8.6,210,중급,도심고궁 나들길
94,강북,은평구,2.76,60,초급,진관공원 나들길
95,강북,은평구,4.39,120,중급,서오릉 나들길
96,강북,서대문구,2.23,180,초급,안산숲 나들길(초록숲길)
97,강북,서대문구,5.09,180,중급,백련산 나들길(초록숲길)
98,강북,서대문구,3.8,120,중급,독립공원안산 나들길
99,강북,마포구,7.81,120,초급,홍제천길
100,강북,서대문구,7.81,120,초급,홍제천길
101,강북,마포구,4.43,120,초급,불광천길
102,강북,마포구,3.12,120,중급,홍대예술의거리 나들길
103,강북,마포구,19.29,270,고급,월드컵공원 나들길
104,강북,서대문구,6.14,150,중급,신촌대학탐방 나들길
105,강북,마포구,4.62,120,중급,상암산 DMC 체험나들길
106,강남,강서구,9.35,150,초급,굴포천(대두둑천)
107,강남,강서구,8.91,180,초급,강서한강길
108,강남,강서구,2.51,110,초급,우장산 공원 산책길
109,강남,강서구,2.61,90,초급,봉제산 숲 나들길
110,강남,강서구,7.74,160,중급,개화산 나들길(강서 둘레길 12코스)
111,강남,강서구,2.51,90,초급,강서문화 산책길
112,강남,구로구,6.9,180,중급,구로 지양산 숲 나들길
113,강남,구로구,1.5,60,초급,개웅산 숲 산책길
114,강남,구로구,3.71,60,초급,목감천
115,강남,양천구,3.71,60,초급,목감천
116,강남,양천구,2.63,90,초급,용왕산 나들길
117,강남,양천구,0.96,30,초급,서서울호수공원 산책길
118,강남,양천구,0.59,30,초급,달마을공원 산책길
119,강남,영등포구,3.84,90,초급,영등포 봄꽃 나들길
120,강남,영등포구,2.82,90,초급,여의도공원 산책길
121,강남,관악구,3.95,180,고급,호암산 나들길
122,강남,금천구,3.95,180,고급,호암산 나들길
123,강남,관악구,5.87,110,초급,청룡산 나들길
124,강남,금천구,5.87,110,초급,청룡산 나들길
125,강남,관악구,5.61,180,초급,독산ㆍ삼성산 나들길
126,강남,금천구,5.61,180,초급,독산ㆍ삼성산 나들길
127,강남,관악구,1.22,40,초급,낙성대 산책길
128,강남,금천구,1.22,40,초급,낙성대 산책길
129,강남,관악구,0.81,40,초급,관음사 산책길
130,강남,금천구,0.81,40,초급,관음사 산책길
131,강남,관악구,6.99,180,중급,관악산 나들길
132,강남,금천구,6.99,180,중급,관악산 나들길
133,강남,관악구,5.58,120,중급,관악산 계곡 나들길
134,강남,금천구,5.58,120,중급,관악산 계곡 나들길
135,강남,동작구,3.53,90,초급,동작충효길(7코스_까치산길)
136,강남,동작구,4.58,120,중급,동작충효길(6코스_동작마루길)
137,강남,동작구,2.5,90,중급,동작충효길(5코스_보라매길)
138,강남,동작구,3.73,90,중급,동작충효길(4코스_노량진길)
139,강남,동작구,3.96,120,중급,동작충효길(3코스_한강나들길)
140,강남,동작구,2.5,60,중급,동작충효길(2코스_현충원길)
141,강남,동작구,2.8,90,중급,동작충효길(1코스_고구동산길)
142,강남,동작구,1.63,60,초급,보라매공원 산책길
143,강남,동작구,7.34,270,중급,현충원 나들길
144,강남,서초구,2.57,60,초급,반포천
145,강남,서초구,5.69,120,초급,여의천
146,강남,서초구,3.31,90,초급,서리골 서리풀 나들길
147,강남,서초구,3.86,120,중급,우면산 나들길
148,강남,강남구,3.7,60,초급,세곡천
149,강남,강남구,2.48,60,초급,독정천
150,강남,강남구,9.53,180,초급,양재천
151,강남,강남구,6.02,150,중급,구룡산 나들길
152,강남,강남구,4.8,180,중급,대모산 나들길
153,강남,강남구,4.15,120,중급,선정릉나들길
154,강남,송파구,30.21,480,고급,송파소리길
155,강남,송파구,5.49,120,초급,성내천길
156,강남,송파구,4.17,60,초급,석촌호수 산책길
157,강남,송파구,3.67,180,중급,몽촌토성 나들길
158,강남,강동구,5.21,180,중급,일자산 숲 나들길
159,강남,강동구,3.98,90,초급,망월천길
160,강남,강동구,4.18,90,초급,고덕천길
161,강남,강동구,1.9,90,초급,고덕산 산책길
