lat, lng
37.669050, 127.065629
37.669078, 127.065742
37.669086, 127.065872
37.669086, 127.065999
37.669089, 127.066119
37.669079, 127.066252
37.669091, 127.066375
37.669084, 127.066490
37.669114, 127.066608
37.669144, 127.066728
37.669160, 127.066845
37.669229, 127.066923
37.669327, 127.066912
37.669367, 127.067018
37.669412, 127.067125
37.669471, 127.067234
37.669547, 127.067321
37.669652, 127.067352
37.669744, 127.067391
37.669818, 127.067469
37.669912, 127.067502
37.670005, 127.067510
37.670096, 127.067489
37.670184, 127.067439
37.670264, 127.067378
37.670352, 127.067424
37.670423, 127.067497
37.670523, 127.067553
37.670620, 127.067555
37.670718, 127.067523
37.670794, 127.067451
37.670884, 127.067416
37.670969, 127.067474
37.671051, 127.067543
37.671153, 127.067550
37.671242, 127.067516
37.671337, 127.067492
37.671386, 127.067592
37.671470, 127.067660
37.671563, 127.067665
37.671667, 127.067642
37.671733, 127.067552
37.671814, 127.067494
37.671905, 127.067494
37.672007, 127.067466
37.672097, 127.067433
37.672179, 127.067387
37.672275, 127.067412
37.672281, 127.067527
37.672223, 127.067615
37.672157, 127.067701
37.672150, 127.067827
37.672160, 127.067960
37.672154, 127.068086
37.672110, 127.068188
37.672087, 127.068298
37.672033, 127.068399
37.672105, 127.068478
37.672188, 127.068527
37.672266, 127.068586
37.672362, 127.068611
37.672420, 127.068710
37.672510, 127.068716
37.672594, 127.068774
37.672665, 127.068859
37.672742, 127.068926
37.672710, 127.069032
37.672674, 127.069148
37.672665, 127.069275
37.672664, 127.069407
37.672717, 127.069518
37.672761, 127.069630
37.672839, 127.069712
37.672924, 127.069788
37.673001, 127.069855
37.673081, 127.069942
37.673090, 127.070056
37.673113, 127.070170
37.673100, 127.070287
37.673061, 127.070397
37.673046, 127.070509
37.673020, 127.070626
37.673033, 127.070753
37.673007, 127.070866
37.672955, 127.070969
37.672995, 127.071071
37.672982, 127.071191
37.672972, 127.071305
37.672998, 127.071425
37.673037, 127.071539
37.673075, 127.071642
37.673075, 127.071755
37.673057, 127.071866
37.673019, 127.071972
37.673062, 127.072074
37.673067, 127.072188
37.673035, 127.072299
37.672961, 127.072368
37.672902, 127.072468
37.672824, 127.072528
37.672750, 127.072596
37.672683, 127.072684
37.672613, 127.072782
37.672595, 127.072907
37.672645, 127.073010
37.672724, 127.073089
37.672741, 127.073211
37.672736, 127.073336
37.672757, 127.073462
37.672785, 127.073583
37.672761, 127.073693
37.672725, 127.073802
37.672800, 127.073880
37.672815, 127.074000
37.672845, 127.074116
37.672842, 127.074237
37.672844, 127.074365
37.672928, 127.074413
37.672999, 127.074487
37.673037, 127.074591
37.673110, 127.074672
37.673145, 127.074780
37.673158, 127.074895
37.673179, 127.075009
37.673194, 127.075136
37.673195, 127.075255
37.673231, 127.075371
37.673321, 127.075435
37.673418, 127.075429
37.673510, 127.075466
37.673603, 127.075471
37.673700, 127.075463
37.673791, 127.075461
37.673884, 127.075435
