sortnum,course_division,course_borough,course_distance,estimated_duration,course_difficulty,course_name
75,강북,서대문구,6.14,150,중급,신촌대학탐방 나들길
76,강북,마포구,4.62,120,중급,상암산 DMC 체험나들길
77,강남,강서구,9.35,150,초급,굴포천(대두둑천)
78,강남,강서구,8.91,180,초급,강서한강길
79,강남,강서구,2.51,110,초급,우장산 공원 산책길
80,강남,강서구,2.61,90,초급,봉제산 숲 나들길
81,강남,강서구,7.74,160,중급,개화산 나들길(강서 둘레길 12코스)
82,강남,강서구,2.51,90,초급,강서문화 산책길
83,강남,구로구,6.9,180,중급,구로 지양산 숲 나들길
84,강남,구로구,1.5,60,초급,개웅산 숲 산책길
85,강남,"구로구,양천구",3.71,60,초급,목감천
86,강남,양천구,2.63,90,초급,용왕산 나들길
87,강남,양천구,0.96,30,초급,서서울호수공원 산책길
88,강남,양천구,0.59,30,초급,달마을공원 산책길
89,강남,영등포구,3.84,90,초급,영등포 봄꽃 나들길
90,강남,영등포구,2.82,90,초급,여의도공원 산책길
91,강남,"관악구,금천구",3.95,180,고급,호암산 나들길
92,강남,"관악구,금천구",5.87,110,초급,청룡산 나들길
93,강남,"관악구,금천구",5.61,180,초급,독산ㆍ삼성산 나들길
94,강남,"관악구,금천구",1.22,40,초급,낙성대 산책길
95,강남,"관악구,금천구",0.81,40,초급,관음사 산책길
96,강남,"관악구,금천구",6.99,180,중급,관악산 나들길
97,강남,"관악구,금천구",5.58,120,중급,관악산 계곡 나들길
98,강남,동작구,3.53,90,초급,동작충효길(7코스_까치산길)
99,강남,동작구,4.58,120,중급,동작충효길(6코스_동작마루길)
100,강남,동작구,2.5,90,중급,동작충효길(5코스_보라매길)
101,강남,동작구,3.73,90,중급,동작충효길(4코스_노량진길)
102,강남,동작구,3.96,120,중급,동작충효길(3코스_한강나들길)
103,강남,동작구,2.5,60,중급,동작충효길(2코스_현충원길)
104,강남,동작구,2.8,90,중급,동작충효길(1코스_고구동산길)
105,강남,동작구,1.63,60,초급,보라매공원 산책길
106,강남,동작구,7.34,270,중급,현충원 나들길
107,강남,서초구,2.57,60,초급,반포천
108,강남,서초구,5.69,120,초급,여의천
109,강남,서초구,3.31,90,초급,서리골 서리풀 나들길
110,강남,서초구,3.86,120,중급,우면산 나들길
111,강남,강남구,3.7,60,초급,세곡천
112,강남,강남구,2.48,60,초급,독정천
113,강남,강남구,9.53,180,초급,양재천
114,강남,강남구,6.02,150,중급,구룡산 나들길
115,강남,강남구,4.8,180,중급,대모산 나들길
116,강남,강남구,4.15,120,중급,선정릉나들길
117,강남,송파구,30.21,480,고급,송파소리길
118,강남,송파구,5.49,120,초급,성내천길
119,강남,송파구,4.17,60,초급,석촌호수 산책길
120,강남,송파구,3.67,180,중급,몽촌토성 나들길
121,강남,강동구,5.21,180,중급,일자산 숲 나들길
122,강남,강동구,3.98,90,초급,망월천길
123,강남,강동구,4.18,90,초급,고덕천길
124,강남,강동구,1.9,90,초급,고덕산 산책길
